name,birthday,nationality
Will Smith,1968-09-25,USA
Robert Downey Jr.,1965-04-04,USA
Fernanda Montenegro,1929-10-16,BRAZIL
Matt Damon,1970-10-08,USA
Anne Hathaway,1982-11-12,USA
Johnny Depp,1963-06-09,USA
Jake Gyllenhaal,1980-12-19,USA
George Clooney,1961-05-06,USA
Jennifer Lawrence,1990-08-15,USA
Tom Cruise,1962-07-03,USA
Bradley Cooper,1975-01-05,USA
Gisele Bündchen,1980-07-20,BRAZIL
Nicole Kidman,1967-06-20,BRAZIL
Jennifer Lopez,1969-07-24,USA
Mark Wahlberg,1971-06-05,USA
Sandra Bullock,1964-07-26,USA
Natalie Portman,1981-06-09,USA
Taís Araújo,1978-11-25,BRAZIL
Halle Berry,1966-08-14,USA
Adam Sandler,1966-09-09,USA
Jamie Foxx,1967-12-13,USA
Anne Hathaway,1982-11-12,USA
Chris Evans,1981-06-13,USA
Selton Mello,1972-12-30,BRAZIL
Julia Roberts,1967-10-28,USA
Wagner Moura,1976-06-27,BRAZIL
Leonardo DiCaprio,1974-11-11,USA
Rodrigo Santoro,1975-08-22,BRAZIL
Jennifer Aniston,1969-02-11,USA
Ben Affleck,1972-08-15,USA
Wagner Moura,1976-06-27,BRAZIL
Gisele Bündchen,1980-07-20,BRAZIL
Alice Braga,1983-04-15,BRAZIL
Tom Hanks,1956-07-09,USA
Morgan Freeman,1937-06-01,USA
Eddie Murphy,1961-04-03,USA
Rodrigo Santoro,1975-08-22,BRAZIL
Taís Araújo,1978-11-25,BRAZIL
Meryl Streep,1949-06-22,USA
Owen Wilson,1968-11-18,USA
Angelina Jolie,1975-06-04,USA
Camila Pitanga,1977-06-14,BRAZIL
Samuel L. Jackson,1948-12-21,USA
Selton Mello,1972-12-30,BRAZIL
Fernanda Montenegro,1929-10-16,BRAZIL
Anne Hathaway,1982-11-12,USA
Vin Diesel,1967-07-18,USA
Robert De Niro,1943-08-17,USA
Lázaro Ramos,1978-11-01,BRAZIL
Scarlett Johansson,1984-11-22,USA
Jennifer Lawrence,1990-08-15,USA
Lázaro Ramos,1978-11-01,BRAZIL
